No.,Made Donation in March 2007
659,1
276,1
263,0
303,0
83,1
500,1
530,1
244,0
249,0
728,0
129,0
534,0
317,0
401,0
696,1
192,0
176,0
571,0
139,0
423,1
563,1
56,1
528,0
101,0
467,1
382,0
466,1
294,0
512,0
659,1
389,0
487,0
701,0
419,1
536,1
240,0
508,1
515,0
283,1
650,0
65,1
228,0
741,0
297,1
464,0
63,0
231,1
28,0
248,0
357,0
300,1
726,1
680,0
520,1
254,0
582,1
143,1
98,1
1,1
221,0
352,0
64,0
138,1
745,0
64,0
688,0
623,0
289,0
174,0
690,0
105,0
427,0
48,0
14,0
657,0
301,0
455,0
579,0
722,0
98,1
491,0
303,0
466,1
65,1
300,1
9,0
622,0
323,0
289,0
568,1
290,0
156,0
464,0
426,0
306,0
4,0
12,1
187,0
406,0
96,1
509,0
733,0
548,0
478,0
501,0
127,1
199,1
299,1
162,0
235,0
23,0
473,0
487,0
683,1
303,0
309,0
569,0
34,1
686,1
84,1
733,0
537,1
181,0
453,1
67,1
161,1
307,0
703,1
181,0
246,0
316,1
278,0
346,0
545,0
419,1
694,1
622,0
663,0
262,1
461,0
373,1
233,0
466,1
207,1
263,0
16,0
513,0
449,1
429,0
701,0
632,0
529,1
245,0
344,0
353,0
241,0
633,0
624,0
726,1
189,0
138,1
402,0
511,1
590,1
334,0
447,1
119,1
389,0
644,0
423,1
131,0
405,0
82,0
643,1
156,0
617,0
574,1
272,0
613,0
545,0
685,0
570,0
537,1
691,0
85,1
483,0
455,0
93,0
744,0
33,0
321,1
523,0
426,0
196,0
301,0
103,0
224,0
454,0
585,0
154,0
